ocr,category,time_ocr
BB695AR,Masuk,2024-12-03 18:08:45
BB695AR,Masuk,2024-12-03 18:09:09
BB506YV,Masuk,2024-12-03 18:33:34
B9244UYT,Masuk,2024-12-03 18:49:40
B2132XY,Masuk,2024-12-03 18:53:04
B9188OH,Keluar,2024-12-03 19:07:21
B261UYT,Masuk,2024-12-03 19:17:47
F9413FG,Keluar,2024-12-03 21:27:02
B956UT,Masuk,2024-12-03 21:35:24
B959IQZ,Masuk,2024-12-03 22:14:44
B195KEU,Masuk,2024-12-03 22:51:52
B9511BXR,Keluar,2024-12-03 22:52:23
T9064DA,Keluar,2024-12-03 23:09:42
BB695AR,Keluar,2024-12-03 23:22:09
B9261UYT,Keluar,2024-12-03 23:27:58
B9244UYT,Keluar,2024-12-03 23:31:06
B267UYT,Keluar,2024-12-03 23:46:38
B9264UY,Keluar,2024-12-04 00:19:39
B9264UYT,Keluar,2024-12-04 00:20:30
B415FG,Masuk,2024-12-04 00:51:33
B9938O,Keluar,2024-12-04 01:02:29
B959IQZ,Keluar,2024-12-04 01:42:17
B9031TEY,Masuk,2024-12-04 01:44:40
B9737KQB,Masuk,2024-12-04 01:56:38
B956UT,Masuk,2024-12-04 01:57:18
BB506YV,Keluar,2024-12-04 02:17:46
B9181LD,Keluar,2024-12-04 03:32:15
B9180FG,Masuk,2024-12-04 03:41:43
B938KXV,Keluar,2024-12-04 03:52:47
B9438KXV,Keluar,2024-12-04 03:53:55
B9876FEU,Masuk,2024-12-04 03:58:15
B9112BYN,Keluar,2024-12-04 04:10:40
B9112BYW,Keluar,2024-12-04 04:11:26
B9885JH,Keluar,2024-12-04 04:15:46
B993KDC,Keluar,2024-12-04 04:16:56
B415FG,Keluar,2024-12-04 04:24:27
B944OXQ,Keluar,2024-12-04 04:29:52
B9443KCA,Keluar,2024-12-04 04:43:53
B90KCA,Keluar,2024-12-04 05:09:18
B9438OY,Keluar,2024-12-04 05:14:07
B912ONY,Keluar,2024-12-04 05:17:37
B9487KDC,Keluar,2024-12-04 05:19:24
B9145IW,Keluar,2024-12-04 05:20:09
B9145IW,Keluar,2024-12-04 05:20:56
B9701KCE,Keluar,2024-12-04 05:21:43
B992KDC,Keluar,2024-12-04 05:30:33
B9264KCF,Keluar,2024-12-04 05:31:25
B9264KCF,Keluar,2024-12-04 05:31:51
B9054KCF,Keluar,2024-12-04 05:32:35
B9695KCE,Keluar,2024-12-04 05:33:16
B9195KEU,Keluar,2024-12-04 05:41:04
B697KCE,Keluar,2024-12-04 05:52:31
B702KCE,Keluar,2024-12-04 06:00:56
B9124UIV,Masuk,2024-12-04 06:04:09
B9635KCA,Keluar,2024-12-04 06:14:40
B9265KCF,Keluar,2024-12-04 06:23:05
B2322IW,Keluar,2024-12-04 06:33:03
B9053KCF,Keluar,2024-12-04 06:39:12
B9594HB,Masuk,2024-12-04 06:52:05
F8856AH,Masuk,2024-12-04 06:54:09
B9501KDC,Keluar,2024-12-04 07:06:16
B9600KDC,Keluar,2024-12-04 07:26:43
B9593UAT,Masuk,2024-12-04 07:29:21
B9849FAP,Masuk,2024-12-04 07:54:33
B744FE,Masuk,2024-12-04 08:40:09
B4JYT,Masuk,2024-12-04 08:43:17
B9504KDC,Keluar,2024-12-04 08:45:44
B9129KOQ,Masuk,2024-12-04 08:57:57
B546DG,Masuk,2024-12-04 09:03:11
B274ZU,Masuk,2024-12-04 09:04:14
B9344KCE,Keluar,2024-12-04 09:14:06
B274ZU,Keluar,2024-12-04 09:16:02
B965KCA,Keluar,2024-12-04 09:19:27
BB49FAP,Keluar,2024-12-04 09:33:41
B702KCE,Masuk,2024-12-04 09:37:16
B9066BYW,Masuk,2024-12-04 09:47:51
B9066BYW,Keluar,2024-12-04 09:48:29
B9903TCQ,Masuk,2024-12-04 09:49:48
B129KOQ,Keluar,2024-12-04 09:53:47
B297MB,Keluar,2024-12-04 09:59:10
B247UYT,Masuk,2024-12-04 10:04:27
B9300KBI,Keluar,2024-12-04 10:06:33
B9434KCB,Keluar,2024-12-04 10:15:28
B9903TCQ,Keluar,2024-12-04 10:16:38
B9124UIV,Keluar,2024-12-04 10:18:58
B9998CQA,Masuk,2024-12-04 10:46:06
B9600KDC,Masuk,2024-12-04 10:54:08
B916IQH,Masuk,2024-12-04 10:57:20
T1091IAZ,Keluar,2024-12-04 11:02:12
B916IQH,Keluar,2024-12-04 11:06:10
B695KCE,Masuk,2024-12-04 11:06:42
B9159KCG,Keluar,2024-12-04 11:09:08
